,platform,final_path,id,keepID
1783,Facebook,logged_information/your_interactions_on_facebook/recently_visited.json/visited_things_v2/entries/data/uri,your_interactions_on_facebook:recently_visited:uri,interactions:recently_visited:uri
1787,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/entries/data/name,your_interactions_on_facebook:recently_viewed:recently_viewed:entries:data:name,interactions:recently_viewed:recently_viewed:entries:data:name
1788,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/entries/data/uri,your_interactions_on_facebook:recently_viewed:recently_viewed:entries:data:uri,interactions:recently_viewed:recently_viewed:entries:data:uri
1961,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/timestamp,your_facebook_activity:other_activity:time_spent_on_facebook:timestamp,other_activity:time_spent_on_facebook:timestamp
1962,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/fbid,your_facebook_activity:other_activity:time_spent_on_facebook:fbid,other_activity:time_spent_on_facebook:fbid
2032,Facebook,your_facebook_activity/other_activity/time_spent_on_facebook.json/media,your_facebook_activity:other_activity:time_spent_on_facebook:media,other_activity:time_spent_on_facebook:media
2037,Facebook,your_facebook_activity/other_activity/your_video_consumption_summary.json/media,your_facebook_activity:other_activity:your_video_consumption_summary:media,other_activity:your_video_consumption_summary:media
2072,Facebook,your_facebook_activity/comments_and_reactions/likes_and_reactions.json/media,your_facebook_activity:comments_and_reactions:likes_and_reactions:media,comments_and_reactions:likes_and_reactions:media
2150,Facebook,your_facebook_activity/pages/pages_you_ve_liked.json/page_likes_v2/name,pages:pages_you_ve_liked:name,pages:pages_you've_liked:name
2151,Facebook,your_facebook_activity/pages/pages_you_ve_liked.json/page_likes_v2/timestamp,pages:pages_you_ve_liked:timestamp,pages:pages_you've_liked:timestamp
2152,Facebook,your_facebook_activity/pages/pages_you_ve_liked.json/page_likes_v2/url,pages:pages_you_ve_liked:url,pages:pages_you've_liked:url
2225,Facebook,connections/followers/who_you_ve_followed.json/following_v3/name,followers:who_you_ve_followed:name,followers:who_you've_followed:name
2226,Facebook,connections/followers/who_you_ve_followed.json/following_v3/timestamp,followers:who_you_ve_followed:timestamp,followers:who_you've_followed:timestamp
2242,Facebook,ads_information/advertisers_you_ve_interacted_with.json/history_v2/title,ads_information:advertisers_you_ve_interacted_with:title,ads_information:advertisers_you've_interacted_with:title
2243,Facebook,ads_information/advertisers_you_ve_interacted_with.json/history_v2/action,ads_information:advertisers_you_ve_interacted_with:action,ads_information:advertisers_you've_interacted_with:action
2312,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/children/name,your_interactions_on_facebook:recently_viewed:children:name,interactions:recently_viewed:children:name
2313,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/children/description,your_interactions_on_facebook:recently_viewed:children:description,interactions:recently_viewed:children:description
2337,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/children/entries/timestamp,your_interactions_on_facebook:recently_viewed:children:entries:timestamp,interactions:recently_viewed:children:entries:timestamp
2338,Facebook,logged_information/your_interactions_on_facebook/recently_visited.json/visited_things_v2/entries/data/value,your_interactions_on_facebook:recently_visited:value,interactions:recently_visited:value
2373,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/children/entries/data/value,your_interactions_on_facebook:recently_viewed:value,interactions:recently_viewed:value
2374,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/children/entries/data/name,your_interactions_on_facebook:recently_viewed:children:entries:data:name,interactions:recently_viewed:children:entries:data:name
2375,Facebook,logged_information/your_interactions_on_facebook/recently_viewed.json/recently_viewed/children/entries/data/uri,your_interactions_on_facebook:recently_viewed:children:entries:data:uri,interactions:recently_viewed:children:entries:data:uri
2406,Facebook,your_activity_across_facebook/other_activity/your_recently_followed_history.json/media,your_activity_across_facebook:other_activity:your_recently_followed_history:media,your_facebook_activity:other_activity:your_recently_followed_history:media
2446,Facebook,your_activity_across_facebook/posts/your_posts__check_ins__photos_and_videos_1.json/timestamp,your_activity_across_facebook:posts:your_posts__check_ins__photos_and_videos_1:timestamp,your_facebook_activity:posts:your_posts__check_ins__photos_and_videos_1:timestamp
2448,Facebook,your_activity_across_facebook/comments_and_reactions/likes_and_reactions_1.json/timestamp,your_activity_across_facebook:comments_and_reactions:likes_and_reactions_1:timestamp,comments_and_reactions:likes_and_reactions_1:timestamp
2495,Facebook,your_activity_across_facebook/groups/group_posts_and_comments.json/group_posts_v2/timestamp,your_activity_across_facebook:groups:group_posts_and_comments:group_posts_v2:timestamp,groups:group_posts_and_comments:timestamp
2496,Facebook,your_activity_across_facebook/groups/group_posts_and_comments.json/group_posts_v2/title,your_activity_across_facebook:groups:group_posts_and_comments:group_posts_v2:title,groups:group_posts_and_comments:group_posts_v2:title
2497,Facebook,your_activity_across_facebook/groups/your_group_membership_activity.json/groups_joined_v2/timestamp,your_activity_across_facebook:groups:your_group_membership_activity:groups_joined_v2:timestamp,groups:your_group_membership_activity:timestamp
2498,Facebook,your_activity_across_facebook/groups/your_group_membership_activity.json/groups_joined_v2/title,your_activity_across_facebook:groups:your_group_membership_activity:groups_joined_v2:title,groups:your_group_membership_activity:title
2499,Facebook,your_activity_across_facebook/groups/your_groups.json/groups_admined_v2/name,your_activity_across_facebook:groups:your_groups:groups_admined_v2:name,your_facebook_activity:groups:your_groups:groups_admined_v2:name
2500,Facebook,your_activity_across_facebook/groups/your_groups.json/groups_admined_v2/timestamp,your_activity_across_facebook:groups:your_groups:groups_admined_v2:timestamp,your_facebook_activity:groups:your_groups:groups_admined_v2:timestamp
2504,Facebook,your_activity_across_facebook/pages/pages_and_profiles_you_follow.json/pages_followed_v2/timestamp,your_activity_across_facebook:pages:pages_and_profiles_you_follow:pages_followed_v2:timestamp,pages:pages_and_profiles_you_follow:timestamp
2505,Facebook,your_activity_across_facebook/pages/pages_and_profiles_you_follow.json/pages_followed_v2/title,your_activity_across_facebook:pages:pages_and_profiles_you_follow:pages_followed_v2:title,pages:pages_and_profiles_you_follow:title
