,participant,platform,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,final_path
9106,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,source_type,ig_stories/media_metadata/photo_metadata/exif_data/source_type,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['source_type'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/source_type
9107,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,aperture,ig_stories/media_metadata/photo_metadata/exif_data/aperture,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['aperture'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/aperture
9108,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,shutter_speed,ig_stories/media_metadata/photo_metadata/exif_data/shutter_speed,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['shutter_speed'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/shutter_speed
9109,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,metering_mode,ig_stories/media_metadata/photo_metadata/exif_data/metering_mode,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['metering_mode'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/metering_mode
9110,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,device_id,ig_stories/media_metadata/video_metadata/exif_data/device_id,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['device_id'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/device_id
9111,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,camera_position,ig_stories/media_metadata/video_metadata/exif_data/camera_position,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['camera_position'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/camera_position
9112,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,source_type,ig_stories/media_metadata/video_metadata/exif_data/source_type,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['source_type'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/source_type
9113,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,latitude,ig_stories/media_metadata/video_metadata/exif_data/latitude,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['latitude'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/latitude
9114,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,longitude,ig_stories/media_metadata/video_metadata/exif_data/longitude,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['longitude'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/longitude
9115,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,latitude,ig_stories/media_metadata/photo_metadata/exif_data/latitude,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['latitude'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/latitude
9116,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,longitude,ig_stories/media_metadata/photo_metadata/exif_data/longitude,"['ig_stories', 'media_metadata', 'photo_metadata', 'exif_data']",['longitude'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/photo_metadata/exif_data/longitude
9117,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,iso,ig_stories/media_metadata/video_metadata/exif_data/iso,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['iso'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/iso
9118,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,focal_length,ig_stories/media_metadata/video_metadata/exif_data/focal_length,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['focal_length'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/focal_length
9119,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,lens_model,ig_stories/media_metadata/video_metadata/exif_data/lens_model,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['lens_model'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/lens_model
9120,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,software,ig_stories/media_metadata/video_metadata/exif_data/software,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['software'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/software
9121,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,scene_type,ig_stories/media_metadata/video_metadata/exif_data/scene_type,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['scene_type'],list,number,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/scene_type
9122,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,lens_make,ig_stories/media_metadata/video_metadata/exif_data/lens_make,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['lens_make'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/lens_make
9123,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,date_time_digitized,ig_stories/media_metadata/video_metadata/exif_data/date_time_digitized,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['date_time_digitized'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/date_time_digitized
9124,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,date_time_original,ig_stories/media_metadata/video_metadata/exif_data/date_time_original,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['date_time_original'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/date_time_original
9125,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,aperture,ig_stories/media_metadata/video_metadata/exif_data/aperture,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['aperture'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/aperture
9126,Output_structure_Instagram_d5898c6433d2c4d2,Instagram,shutter_speed,ig_stories/media_metadata/video_metadata/exif_data/shutter_speed,"['ig_stories', 'media_metadata', 'video_metadata', 'exif_data']",['shutter_speed'],list,string,stories.json,your_instagram_activity/media/stories.json,your_instagram_activity/media/stories.json/ig_stories/media_metadata/video_metadata/exif_data/shutter_speed
